單字,詞類 (Parts of Speech)
crane,n./v.
devil,n.
clothe,v.
crash,n./v.
dim,adj./v.
clown,n./v.
crawl,v./n.
dime,n.
clue,n.
creative,adj.
dine,v.
coach,n./v.
creator,n.
dinosaur,n.
cock,n.
creature,n.
dip,v./n.
cocktail,n.
credit,n./v.
dirt,n.
coconut,n.
crew,n.
discount,n./v.
dishonest,adj.
emergency,n.
flashlight,n.
disk/disc,n.
emotional,adj.
flavor,n./v.
dislike,v./n.
emperor,n.
flesh,n.
ditch,n./v.
enable,v.
float,v./n.
dive,n./v.
energetic,adj.
flock,n./v.
dizzy,adj.
engage(ment),v./(n.)
flood,n./v.
dock,n./v.
enjoyable,adj.
flour,n.
dolphin,n.
entry,n.
flute,n.
donkey,n.
envy,n./v.
foggy,adj.
dose,n./v.
erase,v.
fold,v./n.
doubtful,adj.
excellence,n.
follower,n.
doughnut,n.
exchange,n./v.
fond,adj.
downtown,adj./adv./n.
exhibition,n.
forever,adv.
drag,v./n.
expectation,n.
fortune,n.
dragonfly,n.
experiment,n./v.
fountain,n.
drain,v./n.
explode,v.
frank,adj.
dramatic,adj.
explore,v.
freeze,v./n.
drip,n./v.
export,n./v.
freezer,n.
drown,v.
expressive,adj.
frequent,adj./v.
drugstore,n.
extreme,adj./n.
fright,n.
drunk,adj./n.
fade,v.
frighten,v.
dumb,adj.
faint,adj./v./n.
fuel,n./v.
dump,v./n.
fairly,adv.
fund,n./v.
dumpling,n.
fairy,n./adj.
fur,n.
dust,n./v.
faith,n.
gallon,n.
eager,adj.
fake,adj./v./n.
gamble,n./v.
echo,n./v.
familiar,adj.
gang,n./v.
edit,v.
fancy,adj./n./v.
gap,n.
editor,n.
fare,n.
garage,n.
educate,v.
farther,adv./adj.
gasoline/gas,n.
educational,adj.
fashionable,adj.
geography,n.
efficient,adj.
faucet,n.
gesture,n./v.
elbow,n./v.
fearful,adj.
glance,n./v.
elderly,adj.
feather,n.
global,adj.
elect,v./adj.
fence,n.
glory,n.
election,n.
fighter,n.
glow,n./v.
electricity,n.
firework,n.
golf,n./v.
electronic,adj.
fist,n./v.
gossip,n./v.
element,n.
flame,n./v.
governor,n.
elevator,n.
flash,n./v.
grab,v./n.
graduate,n./v.
holy,adj.
invitation,n.
grasp,v./n.
homesick,adj.
ivory,n./adj.
grasshopper,n.
hometown,n.
jail,n./v.
grassy,adj.
honesty,n.
jar,n.
greedy,adj.
honor,n./v.
jaw,n.
greenhouse,n.
hopeful,adj.
jazz,n.
grin,n./v.
horn,n.
jealous,adj.
grocery,n.
horrible,adj.
jeep,n.
guidance,n.
horror,n.
jelly,n.
gum,n.
hourly,adj./adv.
jet,n./v.
hairdresser,n.
housekeeper,n.
jewel,n.
hallway,n.
hug,n./v.
jewelry,n.
hammer,n./v.
hum,v.
journey,n./v.
handful,n.
humid,adj.
joyful,adj.
handkerchief,n.
humor,n.
juicy,adj.
handy,adj.
humorous,adj.
jungle,n.
hanger,n.
hunger,n.
junior,adj./n.
harbor,n./v.
hut,n.
junk,n./v.
harm,n./v.
icy,adj.
kangaroo,n.
harmful,adj.
imagination,n.
keyboard,n.
harvest,n./v.
immediate,adj.
kidney,n.
hasty,adj.
import,n./v.
kilometer,n.
hatch,n./v.
impress,v.
kindergarten,n.
hateful,adj.
indoor,adj.
kingdom,n.
hay,n.
indoors,adv.
kit,n.
headline,n./v.
industrial,adj.
knight,n.
headquarters,n.
inferior,adj./n.
knit,v./n.
heal,v.
inform,v.
knot,n./v.
heap,n./v.
information,n.
koala,n.
heater,n.
injury,n.
label,n./v.
heel,n./v.
inn,n.
lace,n./v.
hell,n.
inner,adj.
ladder,n.
helmet,n.
innocent,adj.
lately,adv.
hesitate,v.
inspect,v.
laughter,n.
hint,n./v.
inspector,n.
laundry,n.
hire,v./n.
intelligent,adj.
lawn,n.
historian,n.
interrupt,v.
leak,n./v.
historic,adj.
invent,v.
leap,n./v.
holder,n.
inventor,n.
learning,n.
hollow,adj./n./v.
investigate,v.
leather,n.
leisure,n.
meaningful,adj.
napkin,n.
lemonade,n.
meanwhile,n./adv.
native,adj./n.
leopard,n.
medal,n.
navy,n.
lettuce,n.
medium/media,n.
neat,adj.
liberty,n.
melon,n.
necessity,n.
lick,v./n.
melt,v.
necktie,n.
lifetime,n.
mend,v.
neighborhood,n.
lighthouse,n.
mental,adj.
nest,n./v.
lightning,n.
merry,adj.
nickname,n./v.
lily,n.
mess,n./v.
normal,adj.
limb,n.
microphone/mike,n.
novelist,n.
litter,n./v.
microwave,n./v.
nun,n.
lively,adj.
mighty,adj.
oak,n.
loaf,n.
minus,prep./n./adj.
observe,v.
lobby,n.
miracle,n.
occasion,n.
locate,v.
misery,n.
odd,adj.
location,n.
missile,n.
omit,v.
lock,n./v.
missing,adj.
ongoing,adj.
log,n./v.
mission,n.
onion,n.
lollipop,n.
mist,n./v.
onto,prep.
loose,adj.
mob,n./v.
operation,n.
lord,n.
mobile,adj.
opportunity,n.
loser,n.
moist,adj.
opposite,adj./n./prep./adv.
lover,n.
moisture,n.
optimistic,adj.
luggage,n.
monk,n.
oral,adj./n.
lung,n.
monster,n.
organic,adj.
magical,adj.
monthly,adj./adv./n.
organize,v.
magician,n.
moral,adj./n.
original,adj./n.
magnet,n.
mosquito,n.
outdoor,adj.
maid,n.
mostly,adv.
outdoors,adv.
majority,n.
motel,n.
outer,adj.
mall,n.
moth,n.
outline,n./v.
mankind/humankind,n.
motor,n.
oven,n.
marble,n.
multiply,v.
overseas,adv./adj.
march,n./v.
murder,n./v.
owe,v.
marker,n.
muscle,n.
owl,n.
marvelous,adj.
mushroom,n./v.
ownership,n.
mathematical,adj.
mystery,n.
ox,n.
mayor,n.
naked,adj.
pad,n./v.
meadow,n.
nap,n./v.
painter,n.
pal,n.
plastic,n./adj.
punch,n./v.
palace,n.
playful,adj.
puppet,n.
palm,n.
plenty,pron./n./adv.
pure,adj.
pancake,n.
plug,n./v.
purse,n.
panic,n./v.
pole,n.
queer,adj.
parade,n./v.
political,adj.
quit,v.
paradise,n.
politician,n.
quote,v./n.
parcel,n./v.
politics,n.
racial,adj.
parrot,n./v.
poll,n./v.
rag,n.
passage,n.
pollute,v.
rank,n./v.
passenger,n.
pollution,n.
rate,n./v.
passion,n.
porcelain,n.
raw,adj.
passport,n.
portion,n./v.
ray,n.
pat,v./n.
portrait,n.
razor,n.
patience,n.
poster,n.
react,v.
pause,n./v.
postpone(ment),v./(n.)
reaction,n.
pave(ment),v./(n.)
pottery,n.
reasonable,adj.
pea,n.
pour,v.
receipt,n.
peanut,n.
poverty,n.
receiver,n.
pearl,n.
powder,n./v.
recognize,v.
peel,v./n.
practical,adj.
recorder,n.
penguin,n.
precious,adj.
rectangle,n.
penny,n.
preparation,n.
reduce,v.
pepper,n.
presence,n.
regional,adj.
perform,v.
pretend,v.
regret,v./n.
performance,n.
prevent,v.
relax,v.
permission,n.
previous,adj.
release,n./v.
permit,v./n.
probable,adj.
reliable,adj.
persuade,v.
process,n./v.
relief,n.
photographer,n.
producer,n.
religious,adj.
pigeon,n.
product,n.
rely,v.
pile,n./v.
professor,n.
remain,v.
pill,n.
profit,n./v.
remind,v.
pilot,n./v.
promote,v.
remote,adj.
pine,n.
pronounce,v.
replace(ment),v./(n.)
pineapple,n.
proof,n.
represent,v.
pint,n.
property,n.
representative,adj./n.
pit,n.
protection,n.
republic,n.
pitch,n./v.
pub,n.
request,n./v.
pity,n./v.
pump,n./v.
reserve,n./v.
resist,v.
scholarship,n.
skip,v./n.
resource,n.
scientific,adj.
slave,n./v.
response,n.
scientist,n.
sleeve,n.
responsibility,n.
scissors,n.
slender,adj.
restrict,v.
scout,n./v.
slice,n./v.
reveal,v.
scream,v./n.
slippery,adj.
ribbon,n.
screw,v./n.
slope,n.
rid,adj./v.
scrub,n./v.
snap,v./n.
ripe,adj.
seal,n./v.
solid,adj.
risk,n./v.
security,n.
someday,adv.
roar,n./v.
semester,n.
somehow,adv.
roast,adj./n./v.
senior,adj./n.
sometime,adv.
rob,v.
sensible,adj.
sorrow,n.
robbery,n.
separation,n.
spaghetti,n.
robe,n.
sexual,adj.
specific,adj.
rocket,n.
sexy,adj.
spice,n./v.
romantic,adj./n.
shadow,n./v.
spill,v./n.
rot,v./n.
shallow,adj.
spin,n./v.
rotten,adj.
shampoo,n./v.
spinach,n.
rough,adj./adv./n.
shepherd,n.
spit,v./n.
roughly,adv.
shiny,adj.
spite,n.
routine,n./adj.
shorten,v.
splash,n./v.
rug,n.
shortly,adv.
spoil,v.
rumor,n./v.
shovel,n./v.
spray,n./v.
rush,n./v.
shrimp,n.
spy,n./v.
rust,n./v.
shrink,v.
squeeze,v./n.
sack,n.
sigh,n./v.
squirrel,n.
sake,n.
signal,n./v.
stable,adj.
salary,n.
significant,adj.
stadium,n.
satisfactory,adj.
silk,n.
staff,n./v.
sauce,n.
similarity,n.
stale,adj.
saucer,n.
sin,n./v.
stare,v./n.
sausage,n.
sincere,adj.
starve,v.
saving(s),n.
sink,n./v.
statue,n.
scale(s),n.
sip,v./n.
steady,adj./v./adv./n.
scarce,adj.
situation,n.
steal,v.
scarf,n.
skate,v./n.
steam,n./v.
scary,adj.
ski,n./v.
steep,adj.
scatter,v./n.
skillful,adj.
sticky,adj.
scholar,n.
skinny,adj.
stiff,adj.
sting,n./v.
talent,n.
transport,n./v.
stir,v./n.
talkative,adj.
traveler,n.
stitch,n./v.
tame,adj./v.
tray,n.
stomach,n.
tangerine,n.
trend,n.
stool,n.
tank,n.
tribe,n.
stormy,adj.
tap,v./n.
tricky,adj.
stove,n.
tasty,adj.
troop,n.
strategy,n.
tease,v.
tropical,adj.
straw,n.
technical,adj.
trumpet,n.
strength,n.
technique,n.
trunk,n.
strip,n./v.
teenage,adj.
truthful,adj.
structure,n.
temper,n.
tub,n.
stubborn,adj.
temporary,adj.
tug,n./v.
studio,n.
tend,v.
tune,n./v.
stuff,n./v.
tender,adj.
tunnel,n./v.
substance,n.
tent,n.
tutor,n./v.
subtract,v.
terrific,adj.
twin,n.
suburb,n.
territory,n.
twist,n./v.
suck,v./n.
thankful,adj.
underlying,v.
suffer,v.
theory,n.
underwear,n.
sufficient,adj.
thirst,n.
union,n.
suicide,n.
thread,n./v.
unique,adj./n.
sum,n./v.
threat,n.
unite,v.
summary,n.
threaten,v.
unity,n.
summit,n.
thumb,n./v.
urban,adj.
superior,adj./n.
tide,n.
vacant,adj.
surround,v.
tight,adj./adv.
van,n.
survey,n./v.
tighten,v.
vanish,v.
survivor,n.
timber,n.
variety,n.
suspect,v./n./adj.
tobacco,n.
various,adj.
suspicion,n.
ton,n.
vary,v.
swan,n.
toss,v./n.
vase,n.
swear,v.
tough,adj.
vehicle,n.
sweat,n./v.
tourism,n.
verse,n.
swell,v./n.
tourist,n.
vest,n.
swift,adj.
tow,n./v.
victim,n.
sword,n.
tower,n.
violence,n.
tablet,n.
trace,n./v.
violent,adj.
tag,n./v.
trader,n.
violet,adj./n.
tailor,n.
trail,n./v.
visible,adj.
vision,n.
absolute,adj.
annoy,v.
vitamin,n.
absorb,v.
annual,adj.
vivid,adj.
abstract,adj.
anxiety,n.
vocabulary,n.
academic,adj.
apology,n.
volleyball,n.
accent,n.
apparent,adj.
volume,n.
acceptance,n.
applicant,n.
voter,n.
access,n./v.
application,n.
wage(s),n.
accidental,adj.
appoint(ment),v./(n.)
wagon,n.
accompany,v.
appreciation,n.
wander,v./n.
accomplish(ment),v./(n.)
appropriate,adj.
warmth,n.
accountant,n.
approval,n.
warn,v.
accuracy,n.
aquarium,n.
waterfall,n.
accuse,v.
arch,n./v.
wax,n./v.
acid,n./adj.
arise,v.
weaken,v.
acquaintance,n.
arms,n.
wealthy,adj.
acquire,v.
artificial,adj.
weapon,n.
adapt,v.
artistic,adj.
weave,v./n.
addict,n./v.
ashamed,adj.
web,n.
adequate,adj.
aspect,n.
wed,v.
adjust(ment),v./(n.)
aspirin,n.
weed,n./v.
admirable,adj.
assemble,v.
weekly,adj./adv./n.
admiration,n.
assembly,n.
weep,v.
admission,n.
assign(ment),v./(n.)
wheat,n.
adopt,v.
assistance,n.
whip,n./v.
agency,n.
associate,adj./n./v.
whistle,n./v.
agent,n.
association,n.
wicked,adj.
aggressive,adj.
assurance,n.
widen,v.
agreeable,adj.
assure,v.
wipe,v./n.
alcohol,n.
athletic,adj.
wisdom,n.
alert,adj./v./n.
atmosphere,n.
wrap,v./n.
allowance,n.
atom,n.
wrist,n.
alternative,adj./n.
atomic,adj.
yearly,adj./adv.
amateur,adj./n.
attach(ment),v./(n.)
yell,v./n.
ambiguous,adj.
attraction,n.
yolk,n.
ambitious,adj.
audio,adj.
youngster,n.
amuse(ment),v./(n.)
authentic,adj.
zipper,n./v.
analysis,n.
authority,n.
zone,n./v.
analyze,v.
autobiography,n.
ancestor,n.
autograph,n./v.
anniversary,n.
await,v.
abandon,v.
bald,adj.
capitalist,n.
communication,n.
ballet,n.
cargo,n.
community,n.
bandage,n./v.
carrier,n.
companion,n.
bankrupt,adj./v./n.
carve,v.
competition,n.
bargain,n./v.
catalogue,n./v.
competitive,adj.
barrier,n.
category,n.
competitor,n.
basin,n.
cease,v./n.
complicate,v.
battery,n.
celebration,n.
compose,v.
beggar,n.
chamber,n.
composer,n.
behavior,n.
championship,n.
composition,n.
bin,n.
characteristic,n./adj.
concentrate,v.
biography,n.
charity,n.
concentration,n.
biology,n.
chemistry,n.
concept,n.
blade,n.
cherish,v.
concerning,prep.
blend,v./n.
chew,v./n.
concrete,adj./n./v.
blessing,n.
choke,v./n.
conductor,n.
blink,v./n.
chorus,n.
conference,n.
bloom,n./v.
circular,adj.
confess,v.
blossom,n./v.
circulate,v.
confidence,n.
boast,v./n.
circulation,n.
confusion,n.
bond,n./v.
circumstance,n.
congratulate,v.
bounce,v./n.
civilian,adj./n.
congress,n.
bracelet,n.
civilization,n.
conquer,v.
breed,n./v.
clarify,v.
conscience,n.
bridegroom/groom,n.
clash,n./v.
consequence,n.
broke,adj.
classification,n.
consequent,adj.
broom,n.
classify,v.
conservative,adj./n.
brutal,adj.
claw,n./v.
consist,v.
bulletin,n.
cliff,n.
consistent,adj.
burglar,n.
clumsy,adj.
constitute,v.
cabinet,n.
coarse,adj.
constitution,n.
calculate,v.
code,n./v.
construct,v.
calculation,n.
collapse,n./v.
construction,n.
calorie,n.
colleague,n.
constructive,adj.
campaign,n./v.
combination,n.
consult,v.
candidate,n.
comedy,n.
consultant,n.
cane,n.
commander,n.
consume,v.
canoe,n./v.
comment,n./v.
consumer,n.
capacity,n.
commerce,n.
container,n.
capital(ism),n.
commit,v.
content,n./adj.
content(ment),v./(n.)
crush,n./v.
diagram,n./v.
contest,n./v.
cube,n./v.
differ,v.
context,n.
cue,n./v.
digest,n./v.
continual,adj.
cunning,adj./n.
digital,adj.
continuous,adj.
curiosity,n.
dignity,n.
contrary,n./adj.
curl,n./v.
diligence,n.
contrast,n./v.
curse,n./v.
diligent,adj.
contribute,v.
curve,n./v.
diploma,n.
contribution,n.
cushion,n./v.
diplomat,n.
convenience,n.
damp,adj./n./v.
disability,n.
convention,n.
deadline,n.
disadvantage,n./v.
conventional,adj.
declare,v.
disappoint(ment),v./(n.)
converse,v.
decoration,n.
disaster,n.
convey,v.
defeat,n./v.
discipline,n./v.
convince,v.
defend,v.
discourage(ment),v./(n.)
cooperate,v.
defense,n.
disguise,v./n.
cooperation,n.
defensible,adj.
disgust,n./v.
cooperative,adj./n.
defensive,adj.
dismiss,v.
cope,v.
definite,adj.
disorder,n./v.
copper,n./adj.
delicate,adj.
dispute,n./v.
cord,n.
delight,n./v.
distinct,adj.
correspond,v.
delightful,adj.
distinguish,v.
costume,n.
demand,n./v.
distinguished,adj.
cottage,n.
demonstrate,v.
distribute,v.
council,n.
demonstration,n.
distribution,n.
counter,n./v./adj./adv.
dense,adj.
district,n.
courageous,adj.
depart,v.
disturb,v.
courtesy,n.
departure,n.
diverse,adj.
coward,n.
dependent,adj./n.
diversity,n.
crack,n./v.
depression,n.
divine,adj.
craft,n.
deserve,v.
divorce,n./v.
creation,n.
desperate,adj.
dodge,v./n.
creativity,n.
despite,prep.
dominant,adj.
creep,v.
destruction,n.
dominate,v.
critic,n.
detective,n./adj.
draft,n./v.
critical,adj.
determination,n.
dread,n./v.
criticism,n.
device,n.
drift,v./n.
criticize,v.
devise,v.
drill,n./v.
cruelty,n.
devote,v.
drowsy,adj.
crunchy,adj.
dew,n.
durable,adj.
dusty,adj.
ethnic,adj./n.
fireplace,n.
dye,n./v.
evaluate,v.
flatter,v.
dynamic,adj.
evaluation,n.
flea,n.
dynasty,n.
eventual,adj.
flee,v.
earnest,adj./n.
evidence,n./v.
flexible,adj.
earphone,n.
evident,adj.
fluent,adj.
economic,adj.
exaggerate,v.
flush,v./n.
economical,adj.
exception,n.
foam,n./v.
economics,n.
exhaust,n./v.
forbid,v.
economist,n.
exhibit,n./v.
forecast,n./v.
economy,n.
expand,v.
formation,n.
efficiency,n.
expansion,n.
formula,n.
elastic,adj./n.
experimental,adj.
fort,n.
electronics,n.
explanation,n.
fortunate,adj.
elegant,adj.
explosion,n.
fossil,n./adj.
elementary,adj.
explosive,adj./n.
foundation,n.
eliminate,v.
expose,v.
founder,n.
elsewhere,adv.
exposure,n.
fragile,adj.
embarrass(ment),v./(n.)
extend,v.
frame,n./v.
embassy,n.
extent,n.
frequency,n.
emerge,v.
facial,adj.
freshman,n.
emphasis,n.
facility,n.
frost,n./v.
empire,n.
faithful,adj.
frown,n./v.
enclose,v.
fame,n.
frustrate,v.
encounter,n./v.
fantastic,adj.
frustration,n.
endanger,v.
fantasy,n.
fulfill(ment),v./(n.)
endure,v.
farewell,n.
functional,adj.
enforce(ment),v./(n.)
fasten,v.
fundamental,adj./n.
engineering,n.
fatal,adj.
funeral,n.
enlarge(ment),v./(n.)
favorable,adj.
furious,adj.
enormous,adj.
fax,n./v.
furnish,v.
ensure,v.
feast,n./v.
furthermore,adv.
entertain(ment),v./(n.)
feedback,n.
gallery,n.
enthusiasm,n.
ferry,n./v.
gaze,n./v.
equality,n.
fertile,adj.
gear,n./v.
equip(ment),v./(n.)
fetch,v./n.
gender,n.
era,n.
fiction,n.
gene,n.
essential,adj./n.
fierce,adj.
generation,n.
establish(ment),v./(n.)
finance,n./v.
generosity,n.
estimate,n./v.
financial,adj.
genius,n.
genuine,adj.
hawk,n.
including,prep.
germ,n.
helicopter,n.
incredible,adj.
gifted,adj.
herd,n./v.
indication,n.
gigantic,adj.
hesitation,n.
infant,n.
giggle,n./v.
hive,n.
infection,n.
ginger,n.
homeland,n.
inflation,n.
glimpse,n./v.
honeymoon,n./v.
influential,adj.
globe,n.
hook,n./v.
informative,adj.
glorious,adj.
horizon,n.
ingredient,n.
goods,n.
horrify,v.
initial,adj./n./v.
gown,n.
hose,n./v.
injure,v.
grace,n./v.
household,n.
innocence,n.
graceful,adj.
housework,n.
input,n./v.
gracious,adj.
humanity,n.
insert,v./n.
graduation,n.
humidity,n.
inspection,n.
grammar,n.
hurricane,n.
inspiration,n.
grammatical,adj.
hush,n./v.
inspire,v.
graph,n./v.
hydrogen,n.
install,v.
grateful,adj.
identical,adj.
instinct,n.
gratitude,n.
identification,n.
instruct,v.
grave,n./adj.
identify,v.
instructor,n.
greasy,adj.
idiom,n.
insult,n./v.
greeting(s),n.
idle,adj./v.
insurance,n.
grief,n.
idol,n.
intellectual,adj./n.
grind,v./n.
ignorance,n.
intelligence,n.
guarantee,v./n.
ignorant,adj.
intend,v.
guardian,n.
illustrate,v.
intense,adj.
guilt,n.
illustration,n.
intensity,n.
guilty,adj.
imaginary,adj.
intensive,adj.
gulf,n.
imaginative,adj.
intention,n.
habitual,adj.
imitate,v.
interact,v.
halt,n./v.
imitation,n.
interaction,n.
handwriting,n.
immigrant,n.
interfere,v.
hardship,n.
immigrate,v.
intermediate,adj./n./v.
hardware,n.
immigration,n.
interpret,v.
harmony,n.
impact,n./v.
interruption,n.
harsh,adj.
imply,v.
intimate,adj./n.
haste,n.
impose,v.
intuition,n.
hasten,v.
impression,n.
invade,v.
hatred,n.
incident,n.
invasion,n.
invention,n.
logical,adj.
mischief,n.
invest(ment),v./(n.)
loosen,v.
miserable,adj.
investigation,n.
lousy,adj.
misfortune,n.
involve(ment),v./(n.)
loyal,adj.
mislead,v.
isolate,v.
loyalty,n.
misunderstand,v.
isolation,n.
luxurious,adj.
moderate,adj.
issue,n./v.
luxury,n.
modest,adj.
jealousy,n.
machinery,n.
modesty,n.
keen,adj.
magnetic,adj.
monitor,n./v.
kettle,n.
magnificent,adj.
monument,n.
kneel,v.
makeup,n.
moreover,adv.
knob,n.
manual,n./adj.
motivate,v.
labor,n./v.
manufacture,n./v.
motivation,n.
laboratory/lab,n.
manufacturer,n.
mountainous,adj.
lag,n./v.
marathon,n.
muddy,adj.
landmark,n.
margin,n.
mule,n.
landscape,n./v.
maturity,n.
multiple,adj.
largely,adv.
maximum,adj./n.
murderer,n.
launch,v./n.
measurable,adj.
murmur,n./v.
lawful,adj.
measure(s),n.
mutual,adj.
lean,v./adj.
mechanic,n.
mysterious,adj.
learned,adj.
mechanical,adj.
namely,adv.
lecture,n./v.
memorable,adj.
nationality,n.
lecturer,n.
memorial,adj./n.
needy,adj.
legend,n.
memorize,v.
neglect,n./v.
leisurely,adj./adv.
merchant,n.
negotiate,v.
lengthen,v.
mercy,n.
nevertheless,adv.
liar,n.
mere,adj.
nightmare,n.
librarian,n.
merit,n.
noble,adj./n.
license,n./v.
messenger,n.
nonsense,n.
lifeguard,n.
messy,adj.
nowadays,adv.
limitation,n.
microscope,n.
nuclear,adj.
linen,n.
mild,adj.
numerous,adj.
lipstick,n.
mill,n./v.
nursery,n.
liquor,n.
millionaire,n.
nutritious,adj.
literary,adj.
miner,n.
obedience,n.
literature,n.
mineral,n.
obedient,adj.
loan,n./v.
minimum,adj./n.
objection,n.
lobster,n.
minister,n.
objective,n./adj.
logic,n.
ministry,n.
observation,n.
obstacle,n.
percentage,n.
prevention,n.
obtain,v.
perfection,n.
prime,adj./n.
occasional,adj.
perfume,n./v.
primitive,adj.
occupation,n.
permanent,adj.
priority,n.
occupy,v.
persuasion,n.
privacy,n.
offend,v.
persuasive,adj.
privilege,n./v.
offense,n.
pessimistic,adj.
procedure,n.
offensive,adj.
pest,n.
proceed,v.
opera,n.
phenomenon,n.
productive,adj.
oppose,v.
philosopher,n.
profession,n.
option,n.
philosophical,adj.
professional,adj./n.
orbit,n./v.
philosophy,n.
profitable,adj.
orchestra,n.
photography,n.
prominent,adj.
orientation,n.
physical,adj.
promising,adj.
orphan,n./v.
physician,n.
promotion,n.
otherwise,adv.
physicist,n.
prompt,v./adj./n.
outcome,n.
physics,n.
pronunciation,n.
outstanding,adj.
pickle,n.
proposal,n.
oval,adj./n.
pioneer,n./v.
prosper,v.
overcoat,n.
plentiful,adj.
prosperity,n.
overcome,v.
plot,n./v.
prosperous,adj.
overlook,v.
plum,n.
protein,n.
overnight,adv./adj.
plumber,n.
protest,n./v.
overthrow,v.
poisonous,adj.
psychological,adj.
oxygen,n.
polish,n./v.
psychologist,n.
pace,n./v.
popularity,n.
psychology,n.
panel,n.
portable,adj.
publication,n.
parachute,n./v.
portray,v.
publicity,n.
paragraph,n.
possess,v.
publish,v.
partial,adj.
possession,n.
publisher,n.
participation,n.
postage,n.
pursue,v.
partnership,n.
potential,adj./n.
pursuit,n.
passive,adj.
precise,adj.
quarrel,n./v.
pasta,n.
predict,v.
quilt,n./v.
paw,n./v.
prediction,n.
quotation,n.
peculiar,adj.
pregnancy,n.
radar,n.
peep,n./v.
pregnant,adj.
rage,n./v.
peer,n./v.
presentation,n.
rainfall,n.
penalty,n.
preservation,n.
raisin,n.
percent,n.
preserve,v.
realistic,adj.
rebel,n./v.
resignation,n.
sew,v.
recall,v./n.
resistance,n.
shade,n./v.
reception,n.
resolution,n.
shady,adj.
recipe,n.
resolve,v./n.
shameful,adj.
recognition,n.
respectable,adj.
shave,v./n.
recovery,n.
respectful,adj.
shelter,n./v.
recreation,n.
restore,v.
shift,n./v.
recycle,v.
restriction,n.
sightseeing,n.
reduction,n.
retain,v.
signature,n./adj.
refer,v.
retire(ment),v./(n.)
significance,n.
reference,n.
retreat,n./v.
sincerity,n.
reflect,v.
reunion,n.
singular,adj./n.
reflection,n.
revenge,n./v.
site,n./v.
reform,n./v.
revise,v.
sketch,n./v.
refugee,n.
revision,n.
skyscraper,n.
refund,n./v.
revolution,n.
slight,adj./n./v.
refusal,n.
revolutionary,adj./n.
slogan,n.
regarding,prep.
reward,n./v.
socket,n.
register,v./n.
rhyme,n./v.
software,n.
registration,n.
rhythm,n.
solar,adj.
regulate,v.
riddle,n.
spade,n.
regulation,n.
robber,n.
spare,adj./v./n.
rejection,n.
romance,n.
spark,n./v.
relaxation,n.
route,n./v.
spear,n./v.
relevant,adj.
ruin,v./n.
species,n.
relieve,v.
rural,adj.
spiritual,adj.
reluctant,adj.
rusty,adj.
splendid,adj.
remark,n./v.
sacrifice,n./v.
split,v./n.
remarkable,adj.
satellite,n.
sprinkle,v./n.
remedy,n./v.
satisfaction,n.
stab,n./v.
renew,v.
scarcely,adv.
statistic(s),n.
repetition,n.
scenery,n.
status,n.
representation,n.
scold,v./n.
stem,n./v.
reputation,n.
scoop,n./v.
stereo,n.
rescue,n./v.
scratch,n./v.
stingy,adj.
research,n./v.
sculpture,n./v.
stocking(s),n.
researcher,n.
secure,v./adj.
strengthen,v.
resemble,v.
seize,v.
stripe,n.
reservation,n.
settler,n.
strive,v.
resign,v.
severe,adj.
stroke,n./v.
submarine,n./adj.
translation,n.
youthful,adj.
sue,v.
translator,n.
suggestion,n.
transportation,n.
abnormal,adj.
summarize,v.
tremble,v./n.
abolish,v.
surgeon,n.
tremendous,adj.
abortion,n.
surgery,n.
tribal,adj.
abrupt,adj.
surrender,v./n.
triumph,n./v.
absurd,adj.
surroundings,n.
troublesome,adj.
abundant,adj.
suspicious,adj.
tumble,v./n.
abuse,n./v.
sway,n./v.
twig,n.
accelerate,v.
syllable,n.
universal,adj./n.
accessible,adj.
sympathetic,adj.
urge,n./v.
accommodate,v.
sympathy,n.
urgent,adj.
accommodation,n.
systematic,adj.
usage,n.
accord,n./v.
technician,n.
vacancy,n.
accounting,n.
technological,adj.
vain,adj.
telegraph,n./v.
vast,adj.
telescope,n.
vegetarian,n.
acquaint,v.
tendency,n.
vessel,n.
acquisition,n.
tense,adj./v.
violate,v.
activist,n.
tension,n.
violation,n.
acute,adj.
terror,n.
virtue,n.
administration,n.
theme,n.
virus,n.
administrative,adj.
thorough,adj.
visual,adj.
administrator,n.
thoughtful,adj.
vital,adj.
adolescent,adj./n.
tickle,v./n.
voluntary,adj.
adore,v.
timetable,n.
volunteer,n./v.
adverse,adj.
timid,adj.
voyage,n./v.
advocate,n./v.
tolerable,adj.
waken,v.
affection,n.
tolerance,n.
website,n.
agenda,n.
tolerant,adj.
welfare,n.
aggression,n.
tolerate,v.
wink,n./v.
agony,n.
tomb,n.
wit,n.
agricultural,adj.
tortoise,n.
witch/wizard,n.
aisle,n.
torture,n./v.
withdraw,v.
alcoholic,adj./n.
tragedy,n.
witness,n./v.
alien,adj./n.
tragic,adj.
workout,n.
allergic,adj.
transfer,n./v.
workplace,n.
allergy,n.
transform,v.
wreck,n./v.
alliance,n.
translate,v.
yawn,n./v.
allocate,v.
ally,n./v.
barren,adj.
carbon,n.
alongside,prep./adv.
batch,n.
carnival,n.
alter,v.
behalf,n.
casino,n.
alternate,adj./v./n.
belongings,n.
cathedral,n.
amend,v.
beloved,adj./n.
caution,n./v.
ample,adj.
beneficial,adj.
cautious,adj.
analyst,n.
betray,v.
celebrity,n.
anonymous,adj.
beware,v.
cemetery,n.
