單字,詞類 (Parts of Speech)
rule,n./v.
shorts,n.
soon,adv.
ruler,n.
shoulder,n.
sore,adj./n.
run,v.
shout,v./n.
sorry,adj.
sad,adj.
show,v./n.
sound,n.
safe,adj./n.
shower,n./v.
soup,n.
salad,n.
sick,adj.
south,n./adj./adv.
sale,n.
side,n.
space,n./v.
salt,n./v./adj.
sight,n./v.
speak,v.
same,adj./pron./adv.
sign,n./v.
special,adj.
save,v.
simple,adj.
spell,v.
say,v.
since,conj./prep./adv.
spend,v.
school,n./v.
sing,v.
spring,n./v.
science,n.
singer,n.
square,n./adj.
sea,n.
sir,n.
stair,n.
stand,v./n.
telephone/phone,n./v.
together,adv.
star,n./v.
television/TV,n.
toilet,n.
start,v./n.
tell,v.
tomato,n.
station,n.
temple,n.
tomorrow,adv./n.
stay,v./n.
tennis,n.
tonight,adv./n.
still,adv./adj.
terrible,adj.
too,adv.
stop,v./n.
test,n./v.
tool,n.
store,n./v.
than,conj./prep.
tooth,n.
story,n.
thank,v./n.
top,n./adj./v.
straight,adv./adj./n.
that,conj./pron./adv./adj.
topic,n.
strange,adj.
the,art.
total,adj./n./v.
street,n.
theater,n.
touch,n./v.
string,n.
then,adv./adj.
towel,n./v.
strong,adj.
there,adv./n.
town,n.
student,n.
these,pron./adj.
toy,n.
study,n./v.
traffic,n./v.
stupid,adj.
subject,n.
treat(ment),v./(n.)
thick,adj.
successful,adj.
tree,n.
thin,adj.
sugar,n.
trip,n./v.
thing,n.
sun,n./v.
trouble,n./v.
think,v.
sunny,adj.
truck,n.
third,adj./n./adv.
supermarket,n.
try,v./n.
this,pron./adv./adj.
sure,adj./adv.
T-shirt,n.
those,pron./adj.
surprise,n./v.
turn,v./n.
though,conj./adv.
surprised,adj.
twice,adv.
thousand,n./adj.
sweet,adj.
type,n./v.
throat,n.
table,n.
uncle,n.
through,prep./adv.
tail,n.
under,prep./adv.
throw,v./n.
take,v.
understand,v.
ticket,n.
talk,v./n.
uniform,n.
tidy,adj./v.
tall,adj.
until,conj./prep.
tie,n./v.
tape,n.
up,adv./prep./adj./v./n.
tiger,n.
taste,n./v.
use,v./n.
time,n./v.
taxicab/taxi/cab,n.
useful,adj.
tip,n./v.
tea,n.
usually,adv.
tired,adj.
teach,v.
vegetable,n.
to,prep.
teacher,n.
very,adv.
today,adv./n.
team,n./v.
video,n./v./adj.
toe,n.
teenager,n.
violin,n.
visit,v./n.
wise,adj.
advice,n.
visitor,n.
wish,v./n.
affair,n.
voice,n.
with,prep.
affect,v.
wait,v./n.
without,prep./adv.
against,prep.
wake,v.
woman,n.
ahead,adv.
walk,v./n.
wonderful,adj.
aid,n./v.
wall,n.
word,n.
aim,n./v.
want,v./n.
work,n./v.
aircraft,n.
warm,adj./v.
worker,n.
alarm,n./v.
watch,v./n.
world,n.
album,n.
water,n./v.
worry,v./n.
alike,adv./adj.
wave,n./v.
write,v.
alive,adj.
way,n.
writer,n.
alone,adv./adj.
wrong,adj./adv./n./v.
aloud,adv.
ourselves),pron.
yard,n.
altogether,adv.
weak,adj.
year,n.
among,prep.
wear,v.
yellow,adj./n./v.
amount,n./v.
weather,n./v.
yes/yeah,adv./n.
ancient,adj.
week,n.
yesterday,adv./n.
anger,n.
weekend,n./v.
yet,adv./conj.
angle,n.
welcome,v./adj./n.
ankle,n.
well,adv./adj./n.
west,n./adj./adv.
anyway,adv.
wet,adj./v.
young,adj./n.
anywhere/anyplace,adv.
what,pron./adj.
zero,n.
ape,n.
when,adv./conj./pron.
zoo,n.
appearance,n.
where,conj./adv./pron./n.
appetite,n.
whether,conj.
absence,n.
apply,v.
which,pron./adj.
absent,adj./v.
appreciate,v.
while,conj./n./v.
accept,v.
approach,n./v.
white,adj./n.
accident,n.
argue(argument),v./(n.)
who,pron.
account,n./v.
army,n.
whose,pron.
active,adj.
arrange(ment),v./(n.)
why,adv./n.
activity,n.
arrival,n.
wide,adj./adv.
actual,adj.
arrow,n.
wife,n.
addition,n.
article,n.
will,aux./n.
address,v./n.
artist,n.
win,v./n.
admit,v.
asleep,adj.
wind,n./v.
adult,n./adj.
attempt,n./v.
window,n.
advance,n./v.
attend,v.
attention,n.
biscuit,n.
ceiling,n.
author,n./v.
bit,n.
cell,n.
available,adj.
blackboard,n.
centimeter,n.
average,adj./n./v.
blame,v./n.
central,adj.
avoid,v.
blank,adj./n.
century,n.
backpack,n./v.
blanket,n./v.
cereal,n.
backward,adj.
blood,n.
chain,n./v.
chalk,n./v.
boil,n./v.
challenge,n./v.
badminton,n.
bone,n.
channel,n./v.
bake,v.
bookstore,n.
chapter,n.
bakery,n.
border,n./v.
character,n.
balance,n./v.
bother,v./n.
charge,n./v.
balcony,n.
brain,n.
chart,n.
balloon,n.
branch,n./v.
chase,n./v.
bar,n./v.
brand,n.
cheat,v./n.
